22:50:04: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 46] Logger initialized
22:50:05: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:06: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:07: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:08: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:09: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:10: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:11: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:12: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:13: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:14: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:15: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:16: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:17: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
22:50:18: [INFO] [C:\Users\Ariel\WARG\auto-bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Telemetry data received successfully
